Country,Continent,2010,2011,2012,2013,2014,2015,2016
China,AS,8778.4,9824.2,10340.4,10791.2,10724.6,10594.1,10295.2
U.S.,NA,5597.6,5533.1,5324.1,5434.3,5477.1,5334.1,5240
Russia,EU,1759.7,1794.8,1820.7,1778.8,1795.4,1802.9,1767.2
India,AS,1630.3,1679.9,1893.5,1951.1,2089.1,2151,2153.8
Japan,AS,1159.5,1193.7,1254.2,1266,1233.6,1195,1197.7
Germany,EU,811.4,808.1,816.8,830.3,797.9,799.2,803
S.K.,AS,615.6,680.5,686.7,707.2,704.1,718,726.2
Canada,NA,564.3,599.3,598,632,639,641.6,633.4
United Kingdom,EU,547.1,500.7,514.5,505.3,465.2,447.6,420.9
Iran,AS,567.8,592.5,616.4,614.9,644.1,642.1,638