Complaint date,Borough,Count of incidents
2018-02-01,BRONX,288
2018-02-01,BROOKLYN,448
2018-02-01,MANHATTAN,343
2018-02-01,QUEENS,264
2018-02-01,STATEN ISLAND,80
2018-02-02,BRONX,262
2018-02-02,BROOKLYN,391
2018-02-02,MANHATTAN,317
2018-02-02,QUEENS,216
2018-02-02,STATEN ISLAND,65
2018-02-03,BRONX,252
2018-02-03,BROOKLYN,355
2018-02-03,MANHATTAN,342
2018-02-03,QUEENS,226
2018-02-03,STATEN ISLAND,53
2018-02-04,BRONX,230
2018-02-04,BROOKLYN,323
2018-02-04,MANHATTAN,267
2018-02-04,QUEENS,223
2018-02-04,STATEN ISLAND,55
2018-02-05,BRONX,261
2018-02-05,BROOKLYN,355
2018-02-05,MANHATTAN,286
2018-02-05,QUEENS,262
2018-02-05,STATEN ISLAND,49
2018-02-06,BRONX,291
2018-02-06,BROOKLYN,356
2018-02-06,MANHATTAN,272
2018-02-06,QUEENS,232
2018-02-06,STATEN ISLAND,48
2018-02-07,BRONX,267
2018-02-07,BROOKLYN,357
2018-02-07,MANHATTAN,288
2018-02-07,QUEENS,210
2018-02-07,STATEN ISLAND,49
2018-02-08,BRONX,256
2018-02-08,BROOKLYN,363
2018-02-08,MANHATTAN,339
2018-02-08,QUEENS,197
2018-02-08,STATEN ISLAND,56
2018-02-09,BRONX,277
2018-02-09,BROOKLYN,385
2018-02-09,MANHATTAN,311
2018-02-09,QUEENS,224
2018-02-09,STATEN ISLAND,54
2018-02-10,BRONX,261
2018-02-10,BROOKLYN,348
2018-02-10,MANHATTAN,292
2018-02-10,QUEENS,219
2018-02-10,STATEN ISLAND,59
2018-02-11,BRONX,272
2018-02-11,BROOKLYN,320
2018-02-11,MANHATTAN,248
2018-02-11,QUEENS,213
2018-02-11,STATEN ISLAND,47
2018-02-12,BRONX,278
2018-02-12,BROOKLYN,345
2018-02-12,MANHATTAN,324
2018-02-12,QUEENS,214
2018-02-12,STATEN ISLAND,59
2018-02-13,BRONX,286
2018-02-13,BROOKLYN,346
2018-02-13,MANHATTAN,288
2018-02-13,QUEENS,229
2018-02-13,STATEN ISLAND,53
2018-02-14,BRONX,277
2018-02-14,BROOKLYN,386
2018-02-14,MANHATTAN,328
2018-02-14,QUEENS,217
2018-02-14,STATEN ISLAND,64
2018-02-15,BRONX,328
2018-02-15,BROOKLYN,402
2018-02-15,MANHATTAN,346
2018-02-15,QUEENS,295
2018-02-15,STATEN ISLAND,56
2018-02-16,BRONX,279
2018-02-16,BROOKLYN,366
2018-02-16,MANHATTAN,302
2018-02-16,QUEENS,228
2018-02-16,STATEN ISLAND,57
2018-02-17,BRONX,239
2018-02-17,BROOKLYN,343
2018-02-17,MANHATTAN,303
2018-02-17,QUEENS,226
2018-02-17,STATEN ISLAND,54
2018-02-18,BRONX,258
2018-02-18,BROOKLYN,316
2018-02-18,MANHATTAN,251
2018-02-18,QUEENS,221
2018-02-18,STATEN ISLAND,38
2018-02-19,BRONX,278
2018-02-19,BROOKLYN,342
2018-02-19,MANHATTAN,254
2018-02-19,QUEENS,193
2018-02-19,STATEN ISLAND,46
2018-02-20,BRONX,271
2018-02-20,BROOKLYN,355
2018-02-20,MANHATTAN,333
2018-02-20,QUEENS,236
2018-02-20,STATEN ISLAND,62
2018-02-21,BRONX,259
2018-02-21,BROOKLYN,369
2018-02-21,MANHATTAN,390
2018-02-21,QUEENS,236
2018-02-21,STATEN ISLAND,61
2018-02-22,BRONX,251
2018-02-22,BROOKLYN,365
2018-02-22,MANHATTAN,337
2018-02-22,QUEENS,214
2018-02-22,STATEN ISLAND,51
2018-02-23,BRONX,293
2018-02-23,BROOKLYN,336
2018-02-23,MANHATTAN,324
2018-02-23,QUEENS,216
2018-02-23,STATEN ISLAND,42
2018-02-24,BRONX,270
2018-02-24,BROOKLYN,344
2018-02-24,MANHATTAN,311
2018-02-24,QUEENS,245
2018-02-24,STATEN ISLAND,44
2018-02-25,BRONX,295
2018-02-25,BROOKLYN,298
2018-02-25,MANHATTAN,258
2018-02-25,QUEENS,179
2018-02-25,STATEN ISLAND,37
2018-02-26,BRONX,282
2018-02-26,BROOKLYN,356
2018-02-26,MANHATTAN,281
2018-02-26,QUEENS,208
2018-02-26,STATEN ISLAND,48
2018-02-27,BRONX,280
2018-02-27,BROOKLYN,322
2018-02-27,MANHATTAN,292
2018-02-27,QUEENS,237
2018-02-27,STATEN ISLAND,51
2018-02-28,BRONX,284
2018-02-28,BROOKLYN,351
2018-02-28,MANHATTAN,361
2018-02-28,QUEENS,246
2018-02-28,STATEN ISLAND,61